ADJUSTMENTID,GOP,PTF,CCY,AMOUNT,AMOUNTINEUR,COMMENTS,CREATIONDATE,USER,VALDATEBEGIN,VALDATEEND,SBU,PC,NATURE,ADJUSTMENTLINKID,INSTRUMENT,FILEPATH,JEDAIID,JEDAIIDLINK,FOLDER,SOURCE,REGION,PNLCOMPONENT,CRAFTINDICATOR,DEALID,SECURITYID,CCYPAIR,EXCHANGERATE,PNLTYPE,TPR,NATUREID,TYPE,TYPO,MACROTYPO,ENDEVENT,MACRONAME,MACROLOG,INCIDENTID,DOCUMENTID,ADJUSTMENTSOURCE,RCCODE,CPMIMPACT
96600012,MOCK_GOP_JULIET,MOCK_PTF_JADE,USD,-540300.000000,-502479.000000,MOCK_REGION_EAST flow correction,2026-01-17,pnl.control,2026-01-16,2026-01-16,MOCK_SBU_EQUITIES,MOCK_PC_STOCKS,M - Manual,411200012.0,Correction,,,,MOCK_PTF_JADE,MANUAL,MOCK_REGION_EAST,MOCK_COMPONENT_CHARLIE - Mock position/deal PnL component,MOCK_COMPONENT_CHARLIE - Mock position/deal PnL component,,,USDEUR,0.930000,T,TRADE PNL,CMANUAL,Correction,,,,,,,,GSCIN GTO-XRM-PNL,MOCK_RCCODE,False
96600013,MOCK_GOP_KILO,MOCK_PTF_KITE,USD,425900.000000,396087.000000,MOCK_REGION_SOUTH index accrual,2026-01-17,pnl.control,2026-01-16,2026-01-16,MOCK_SBU_EQUITIES,MOCK_PC_FLOW,M - Manual,411200013.0,Accrual,,,,MOCK_PTF_KITE,MANUAL,MOCK_REGION_NORTH,MOCK_COMPONENT_BRAVO - Mock position/deal PnL component,MOCK_COMPONENT_BRAVO - Mock position/deal PnL component,,,USDEUR,0.930000,T,TRADE PNL,CMANUAL,Correction,,,,,,,,GSCIN GTO-XRM-PNL,MOCK_RCCODE,False
96600014,MOCK_GOP_BRAVO,MOCK_PTF_BOREAL,EUR,1860000.000000,1860000.000000,Corporate flow true-up,2026-02-28,pnl.control,2026-02-27,2026-02-27,MOCK_SBU_EQUITIES,MOCK_PC_STOCKS,M - Manual,411200014.0,Accrual,,,,MOCK_PTF_BOREAL,MANUAL,MOCK_REGION_NORTH,MOCK_COMPONENT_ALPHA - Mock position/deal PnL component,MOCK_COMPONENT_ALPHA - Mock position/deal PnL component,,,,1.000000,T,TRADE PNL,CMANUAL,Correction,,,,,,,,GSCIN GTO-XRM-PNL,MOCK_RCCODE,False
96600015,MOCK_GOP_ECHO,MOCK_PTF_ECHO,USD,-2750000.000000,-2557500.000000,Quarter-end index valuation,2026-04-01,pnl.control,2026-03-31,2026-03-31,MOCK_SBU_EQUITIES,MOCK_PC_FLOW,M - Manual,411200015.0,Provision,,,,MOCK_PTF_ECHO,MANUAL,MOCK_REGION_NORTH,MOCK_COMPONENT_CHARLIE - Mock position/deal PnL component,MOCK_COMPONENT_CHARLIE - Mock position/deal PnL component,,,USDEUR,0.930000,T,NON TRA PROVISION (NPR),CMANUAL,Correction,,,,,,,,GSCIN GTO-XRM-PNL,MOCK_RCCODE,False
96600016,MOCK_GOP_HOTEL,MOCK_PTF_HARBOR,EUR,1135600.000000,1135600.000000,Quarter-end dispersion valuation,2026-04-01,pnl.control,2026-03-31,2026-03-31,MOCK_SBU_EQUITIES,MOCK_PC_STOCKS,M - Manual,411200016.0,Provision,,,,MOCK_PTF_HARBOR,MANUAL,MOCK_REGION_WEST,MOCK_COMPONENT_CHARLIE - Mock position/deal PnL component,MOCK_COMPONENT_CHARLIE - Mock position/deal PnL component,,,,1.000000,T,NON TRA PROVISION (NPR),CMANUAL,Correction,,,,,,,,GSCIN GTO-XRM-PNL,MOCK_RCCODE,False
96600017,MOCK_GOP_LIMA,MOCK_PTF_LUMEN,EUR,-780000.000000,-780000.000000,Quarter-end rates freeze,2026-04-01,pnl.control,2026-03-31,2026-03-31,MOCK_SBU_EQUITIES,MOCK_PC_MANAGEMENT,C - Freeze,411200017.0,Provision,,,,MOCK_PTF_LUMEN,FREEZE,MOCK_REGION_NORTH,MOCK_COMPONENT_ALPHA - Mock position/deal PnL component,MOCK_COMPONENT_ALPHA - Mock position/deal PnL component,,,,1.000000,T,NON TRA PROVISION (NPR),CFREEZE,Correction,,,,,,,,GSCIN GTO-XRM-PNL,MOCK_RCCODE,False
96600018,MOCK_GOP_FOXTROT,MOCK_PTF_FJORD,USD,310450.000000,288718.500000,Financing accrual true-up,2026-04-18,pnl.control,2026-04-17,2026-04-17,MOCK_SBU_EQUITIES,MOCK_PC_FINANCING,M - Manual,411200018.0,Accrual,,,,MOCK_PTF_FJORD,MANUAL,MOCK_REGION_NORTH,MOCK_COMPONENT_BRAVO - Mock position/deal PnL component,MOCK_COMPONENT_BRAVO - Mock position/deal PnL component,,,USDEUR,0.930000,T,TRADE PNL,CMANUAL,Correction,,,,,,,,GSCIN GTO-XRM-PNL,MOCK_RCCODE,False
96600019,MOCK_GOP_CHARLIE,MOCK_PTF_CEDAR,EUR,-695000.000000,-695000.000000,Hedge revaluation correction,2026-05-30,pnl.control,2026-05-29,2026-05-29,MOCK_SBU_EQUITIES,MOCK_PC_HEDGE,M - Manual,411200019.0,Correction,,,,MOCK_PTF_CEDAR,MANUAL,MOCK_REGION_NORTH,MOCK_COMPONENT_CHARLIE - Mock position/deal PnL component,MOCK_COMPONENT_CHARLIE - Mock position/deal PnL component,,,,1.000000,T,TRADE PNL,CMANUAL,Correction,,,,,,,,GSCIN GTO-XRM-PNL,MOCK_RCCODE,False
96600020,MOCK_GOP_INDIA,MOCK_PTF_IVORY,JPY,245750.000000,1572.800000,MOCK_REGION_EAST hedge accrual,2026-05-30,pnl.control,2026-05-29,2026-05-29,MOCK_SBU_EQUITIES,MOCK_PC_HEDGE,M - Manual,411200020.0,Accrual,,,,MOCK_PTF_IVORY,MANUAL,MOCK_REGION_EAST,MOCK_COMPONENT_BRAVO - Mock position/deal PnL component,MOCK_COMPONENT_BRAVO - Mock position/deal PnL component,,,JPYEUR,0.006400,T,TRADE PNL,CMANUAL,Correction,,,,,,,,GSCIN GTO-XRM-PNL,MOCK_RCCODE,False
96600021,MOCK_GOP_ALPHA,MOCK_PTF_ATLAS,EUR,-3650000.000000,-3650000.000000,Quarter-end PnL freeze,2026-07-01,pnl.control,2026-06-30,2026-06-30,MOCK_SBU_EQUITIES,MOCK_PC_FLOW,C - Freeze,411200021.0,Provision,,,,MOCK_PTF_ATLAS,FREEZE,MOCK_REGION_NORTH,MOCK_COMPONENT_ALPHA - Mock position/deal PnL component,MOCK_COMPONENT_ALPHA - Mock position/deal PnL component,,,,1.000000,T,NON TRA PROVISION (NPR),CFREEZE,Correction,,,,,,,,GSCIN GTO-XRM-PNL,MOCK_RCCODE,False
96600022,MOCK_GOP_DELTA,MOCK_PTF_DUNE,EUR,-1025000.000000,-1025000.000000,Quarter-end dispersion freeze,2026-07-01,pnl.control,2026-06-30,2026-06-30,MOCK_SBU_EQUITIES,MOCK_PC_STOCKS,C - Freeze,411200022.0,Provision,,,,MOCK_PTF_DUNE,FREEZE,MOCK_REGION_NORTH,MOCK_COMPONENT_ALPHA - Mock position/deal PnL component,MOCK_COMPONENT_ALPHA - Mock position/deal PnL component,,,,1.000000,T,NON TRA PROVISION (NPR),CFREEZE,Correction,,,,,,,,GSCIN GTO-XRM-PNL,MOCK_RCCODE,False
96600023,MOCK_GOP_GOLF,MOCK_PTF_GARNET,EUR,890000.000000,890000.000000,Quarter-end fee correction,2026-07-01,pnl.control,2026-06-30,2026-06-30,MOCK_SBU_EQUITIES,MOCK_PC_FLOW,M - Manual,411200023.0,Correction,,,,MOCK_PTF_GARNET,MANUAL,MOCK_REGION_WEST,MOCK_COMPONENT_BRAVO - Mock position/deal PnL component,MOCK_COMPONENT_BRAVO - Mock position/deal PnL component,,,,1.000000,T,TRADE PNL,CMANUAL,Correction,,,,,,,,GSCIN GTO-XRM-PNL,MOCK_RCCODE,False
96600024,MOCK_GOP_LIMA,MOCK_PTF_LUMEN,EUR,540000.000000,540000.000000,Quarter-end rates true-up,2026-07-01,pnl.control,2026-06-30,2026-06-30,MOCK_SBU_EQUITIES,MOCK_PC_MANAGEMENT,M - Manual,411200024.0,Provision,,,,MOCK_PTF_LUMEN,MANUAL,MOCK_REGION_NORTH,MOCK_COMPONENT_ALPHA - Mock position/deal PnL component,MOCK_COMPONENT_ALPHA - Mock position/deal PnL component,,,,1.000000,T,NON TRA PROVISION (NPR),CMANUAL,Correction,,,,,,,,GSCIN GTO-XRM-PNL,MOCK_RCCODE,False
